,School/Club Team
Yale (Sr.),1
Longwood (Sr.),1
Stonehill (Sr.),1
Victoria (Canada) (Sr.),1
Alabama A&M (Sr.),1
Dallas Baptist (Sr.),1
West Virginia Tech (Sr.),1
John Carroll (Sr.),1
Lewis (Sr.),1
Santa Fe (New Mexico) (Sr.),1
Central Washington (Sr.),1
Augustana College (Illinois) (Sr.),1
Penn Staet (Sr.),1
UC Davis (Sr.),1
Armstrong Atlantic State (Sr.),1
Butler (Sr.),1
West Alabama (Sr.),1
Western Illinois (Sr.),1
UMass Boston (Sr.),1
Augustana College (South Dakota) (Sr.),1
FIU (Sr.),1
Eastern Oregon (Sr.),1
Michigan (Sr.)[4],1
Huron (Sr.),1
Edinboro (Sr.),1
Pan American Broncs (Sr.),1
LSU(Sr.),1
Bloomfield (Sr.),1
Lincoln (Missouri) (Sr.),1
Loyola (Illinois) (Sr.),1
UMass (Jr.),1
Columbus State (Sr.),1
Nasson (Sr.),1
Missouri Southern (Sr.),1
St. Francis Brooklyn (Sr.),1
UT Rio Grande Valley (Sr.),1
Drake (Jr.),1
Mercyhurst (Sr.),1
Air Force (Sr.),1
Brandeis (Sr.),1
Army (Sr.),1
Pace (Sr.),1
Cal Poly (Sr.),1
Widener (Sr.),1
Biola (Sr.),1
Rhode Island (Jr.),1
Hartwick (Sr.),1
UCF (Sr.),1
Biscayne (Sr.),1
Salem (Sr.),1
Alabama-Huntsville (Sr.),1
Prairie View A&M (Sr.),1
McKendree (Sr.),1
Norfolk State (Jr.),1
Milligan (Sr.),1
Eastern Washington (Sr.),1
Rutgers–Camden (Sr.),1
Minnesota State (Sr.),1
Saint Francis University (Sr.),1
Graceland (Sr.),1
Concord (Sr.),1
Cleveland State (Jr.),1
Omaha (Sr.),1
Philadelphia Textile (Sr.),1
Allentown Jets (EBA),1
Indiana State (Jr.)[1],1
Portland State (Sr.),1
Southern (Jr.),1
VMI (Sr.),1
Malone (Sr.),1
Nicholls State (Sr.),1
Cheyney State (Sr.),1
Augustana (SD) (Sr.),1
North Dakota (Sr.),1
Iona (Jr.),1
Tuskegee (Sr.),1
Savannah State (Sr.),1
Albright (Sr.),1
Alaska Anchorage (Sr.),1
Philadelphia Textile (So.),1
Lethbridge (Sr.),1
Cameron (Sr.),1
NYIT (Sr.),1
Kent State (Sr.),1
North Alabama (Sr.),1
Vanguard (Sr.),1
Wilmington (Ohio) (Sr.),1
Midwestern State (Sr.),1
Stephen F. Austin (Sr.),1
Dillard (Sr.),1
Montana Western (Sr.),1
Fairmont State (Sr.),1
Point Park (Sr.),1
Murray State (Jr.),1
Hamilton (Sr.),1
Drury (Sr.),1
Saint Mary's University (Canada) (Sr.),1
Franklin & Marshall (Sr.),1
Cal State Los Angeles (Sr.),1
High Point (Sr.),1
The Citadel (Sr.),1
Idaho (Jr.),1
Cal State Dominguez Hills (Sr.),1
New Haven (Sr.),1
Eastern Kentucky (Jr.),1
Harding (Sr.),1
Cypress JC (Fr.)[1],1
Athletes in Action,1
Morgan State (So.),1
Louisiana College (Sr.),1
Le Moyne (Sr.),1
Portland (Jr.),1
Navy (Sr.),1
New Jersey City (Sr.),1
LIU Post (Sr.),1
Clark (Sr.),1
Oklahoma (Jr.),1
"Alief Elsik HS (Houston, Texas)",1
Florida A&M (Jr.),1
Hargrave Military Academy,1
Rhode Island (So.),1
"Picayune Memorial HS (Picayune, Mississippi) (HS Sr.)",1
Barton County CC (So.),1
Limoges (France),1
Southwest Texas State (Sr.),1
King College Prep HS (Chicago) (HS Sr.),1
Illinois State (Jr.),1
Bayi Rockets (China),1
